date,rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
2026-06-06,1,SYRUPUSDC-USDC,aerodrome slipstream,Base,$500.1k,500073,46.30933,46.30933,46.30933,,,95.59279,,,500073,,,,
2026-06-06,2,EURC-USDC,aerodrome slipstream,Base,$3.31m,3306094,34.82195,31.78456,3.03739,17.97071,,25.13629,,,3306094,,,,
2026-06-06,3,USDC-USDT,aerodrome slipstream,Base,$1.02m,1018100,31.58445,25.92993,5.65452,18.76605,,18.65655,,,1018100,,,,
2026-06-06,4,MSUSD-USDC,aerodrome slipstream,Base,$18.66m,18657977,19.88701,18.28654,1.60047,4.59872,,4.08617,,,18657977,,,,
2026-06-06,5,USDC,sprinter,Base,$2.96m,2963259,16.65825,16.65825,,,,16.17139,,,2963259,,,,
2026-06-06,6,USDC,gains network,Arbitrum,$5.50m,5502716,12.81109,12.81109,,,,7.22618,,,5502716,,,,
2026-06-06,7,APXUSD,pendle,Base,$3.12m,3117223,11.70033,11.70033,,,,13.66664,,,3117223,,,,
2026-06-06,8,MSUSD-USDC,extra finance leverage farming,Base,$981.7k,981656,10.32413,10.32413,,,,7.88102,,,981656,,,,
2026-06-06,9,SUSDAI,pendle,Arbitrum,$8.22m,8221863,10.17202,10.17202,,,,9.59731,,,8221863,,,,
2026-06-06,10,MIM-USDC,mim swap,Arbitrum,$2.44m,2435181,10.16492,0,10.16492,,,11.83093,,,2435181,,,,
2026-06-06,11,MIM-USDC,beefy,Arbitrum,$1.31m,1305864,9.61575,9.61575,,,,12.83575,,,1305864,,,,
2026-06-06,12,SUSDAI,pendle,Arbitrum,$11.72m,11719370,9.52497,9.52497,,,,9.54702,,,11719370,,,,
2026-06-06,13,USDC,yieldseeker,Base,$1.94m,1938163,9.38478,9.38478,,,,9.10252,,,1938163,,,,
