rank,pool,project,tvl,tvl_raw,apy,base_apy,avg_30d,top_10_pct
1,USDC.E-USDT.E,Yuzu Finance,"$744,213",744213,26.74,0.16,26.58,25.41
2,USDC / monUSD,AUTOfinance,"$506,537",506537,18.01,13.4,30.71,100
3,IUSD,Indigo,$4.7m,4700000,16.75,16.75,16.75,18.1
4,USDC / yoUSD,YO Protocol,$26.13m,26130000,15.92,3.92,14.09,59
5,USDC / yoUSD,YO Protocol,"$580,247",580247,15.92,3.92,14.12,90.2
6,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,$1.11m,1110000,13.96,13.96,14.42,97
7,USDC-MSUSD / stable - 0.05%,Velodrome V2,$1.22m,1220000,13.91,13.91,10.59,100
8,USDC-MSUSD / stable - 0.05%,Velodrome V2,$1.29m,1290000,13.57,13.57,10.1,100
9,MSUSD-USDC,Extra Finance Leverage Farming,$1.22m,1220000,13.52,13.52,11.58,99.9
10,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,$2.7m,2700000,13.43,13.98,13.98,76
11,MSUSD-USDC,Aerodrome V1,$6.65m,6650000,12.74,12.74,11.02,99.9
12,MSUSD-USDC / Aerodrome,Beefy,"$507,245",507245,12.21,10.53,10.53,46.3
13,DJED,Liqwid,$1.65m,1650000,11.94,11.94,11.94,12.03
14,USDC / arbUSD,AUTOfinance,$2.08m,2080000,11.87,10.15,7.66,100
15,USDC,Sprinter,$2.96m,2960000,11.35,9.96,,9.96
16,AUSD,Accountable,"$515,000",515000,11.3,6.3,5,11.3
17,USDC,Abyss,$1.9m,1900000,11.29,11.29,11.29,8.77
18,USDC / vault,Avantis,$61.55m,61550000,11.28,11.28,9.57,32
19,AUSD,Accountable,$9.9m,9900000,11.28,7.76,3.52,11.28
20,MSUSD-FRXUSD,Aerodrome V1,"$581,979",581979,10.97,10.97,14.88,100
21,SUSDU,Unitas,$47.33m,47330000,10.65,10.65,10.65,12.14
22,MIM-USDT0 / Mim,Beefy,$1.15m,1150000,10.34,10.38,10.38,81.6
23,USDC.E,Kinetic,"$554,519",554519,10.19,3.01,7.18,11.08
24,ALUSD-USDC,Curve DEX,"$718,712",718712,10.18,0.85,10.08,100
25,ALUSD-USDC / Curve,Stake DAO,"$682,390",682390,9.66,0.13,9.78,95.9
26,AUSD,Neverland,$8.08m,8080000,9.61,4.34,10.23,79.3
27,EARNAUSD,Upshift,$38.89m,38890000,9.58,4.64,4.94,8.1
28,APXUSD / For LP | Maturity 18JUN2026,Pendle,$1.11m,1110000,9.5,6.19,9.3,100
29,SUPERUSDC / SuperVault,Superform,$2.22m,2220000,9.44,4.48,5.58,57
30,USDT0,Neverland,$3.65m,3650000,9.33,3.84,9.21,85.7
31,DAI-USDT / 0.00%,Uniswap V4,"$535,004",535004,9.2,9.2,9.2,12.46
32,USDT,ZEROBASE CeDeFi,$7.94m,7940000,9,7,9,99.7
33,USDC,ZEROBASE CeDeFi,"$801,249",801249,9,7,9,97.4
34,USDC,MortgageFi,"$723,214",723214,8.97,8.99,8.99,97.8
35,AUSD,Yearn Finance,$1.63m,1630000,8.89,8.89,8.89,2.81
36,ZVUSDC,Zircuit Finance,$1.51m,1510000,8.88,8.88,8.54,26.1
37,RE7USDC,Morpho V1,$2.04m,2040000,8.78,8.78,4.53,99.7
38,USDC-USDT / CL1 - 0.0009%,Aerodrome Slipstream,$1.17m,1170000,8.61,7.44,6.67,6.28
39,USDC,Liqwid,"$520,299",520299,8.39,8.39,8.39,3.61
40,USDC / baseUSD,AUTOfinance,$6.78m,6780000,8.28,5.11,6.61,99.9
41,RE7USDC,Morpho V1,$1.23m,1230000,8.27,8.27,43.31,100
42,USDT,Symbiosis,$1.21m,1210000,8.24,8.24,8.24,6.76
43,AUGUSTUSDC,Morpho V1,$5.82m,5820000,8.17,8.17,7.25,100
44,USDC / Euler Earn USDC,Euler V2,$1.65m,1650000,8.05,8.05,1.78,72.4
45,USDSUI,NAVI Lending,$1.53m,1530000,7.98,0.04,7.93,9.06
46,USDC,Neverland,$17.27m,17270000,7.95,3.81,8.38,81
47,MIM-USDC / Mim,Beefy,$2.43m,2430000,7.89,7.16,7.16,89
48,SUSDAI / For buying PT-sUSDai-15OCT2026,Pendle,$13.84m,13840000,7.82,7.82,7.61,47.1
49,USDC,Loopscale,$1.01m,1010000,7.81,7.81,7.81,8.37
50,USDC,Gearbox,$3.39m,3390000,7.75,2.34,7.48,80.9
51,SUSDAI / For buying PT-sUSDai-18JUN2026,Pendle,$6.42m,6420000,7.64,7.64,7.12,59.2
52,SUSDAI / For LP | Maturity 15OCT2026,Pendle,$13.84m,13840000,7.54,6.75,7.64,60.5
53,AAVEUSDC-AAVEGHO,Aura,$7.23m,7230000,7.26,2.31,5.58,100
54,SUSDAI / For LP | Maturity 18JUN2026,Pendle,$6.42m,6420000,7.11,6.72,7.1,81.5
55,USDC-SUSD / stable - 0.05%,Velodrome V2,$1.03m,1030000,7.1,7.1,6.25,99.8
56,SYZUSD,Yuzu Money,$23.95m,23950000,6.98,6.98,7.34,100
57,USDC / 40 Acres,Harvest Finance,$2.02m,2020000,6.94,6.94,6.02,59.6
58,WABASGHO-WABASUSDC / Aura,Beefy,$1.63m,1630000,6.91,5.24,5.24,69.5
59,USDAI / For buying PT-USDai-15OCT2026,Pendle,"$903,561",903561,6.87,6.87,6.06,90.8
60,SUSDAI / 30d unlock,USD AI,$257.71m,257709999.99999997,6.83,6.83,6.24,86.8
61,FEUSDT0,Morpho V1,$12.34m,12340000,6.77,6.77,5.3,61.9
62,AUGUSTUSDCV2,Morpho V1,$5.82m,5820000,6.65,6.65,7.02,99.5
63,XUSD,Sovryn Dex,"$727,888",727888,6.48,6.48,6.48,6.54
64,DTUSDC,Lagoon,"$675,972",675972,6.46,6.46,5.56,87.9
65,AUSD / earnAUSD/AUSD,Curvance,$2.57m,2570000,6.36,6.36,6.63,58.6
66,AAVEGHO-USDT-USDC,Aura,$7.61m,7610000,6.28,1.41,7.3,100
67,FEUSDH,Morpho V1,$4.68m,4680000,6.22,6.22,5.1,61.2
