rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,avg_30d,top_10_pct
1,RE7USDC,Morpho V1,Base,"$789,077",789077,29.08,29.08,29.08,5.77
2,USDC.E-USDT.E,Yuzu Finance,Move,"$800,603",800603,25.25,0.15,25.1,25.72
3,FEUSDT02,Morpho V1,Hyperliquid L1,$1.74m,1740000,25.1,25.1,25.1,6.08
4,USDC / yoUSD,YO Protocol,Base,$20.41m,20410000,16.81,4.81,12,14.12
5,USDC / yoUSD,YO Protocol,Arbitrum,"$544,331",544331,16.81,4.81,12,14.15
6,IUSD,Indigo,Cardano,$4.57m,4570000,16.69,16.69,16.69,17.82
7,USDC-MSUSD / stable - 0.05%,Velodrome V2,Op Mainnet,$1.03m,1030000,16.13,16.13,16.13,12.21
8,FEUSDC,Morpho V1,Hyperliquid L1,$25.65m,25650000,15.65,15.65,15.65,5.73
9,FEUSDH,Morpho V1,Hyperliquid L1,$3.98m,3980000,14.61,14.61,14.61,6.09
10,AAVEUSDC-AAVEGHO,Aura,Base,$5.81m,5810000,14.6,8.46,6.14,6.17
11,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,Monad,$2.84m,2840000,14.35,14.26,,14.26
12,FEUSDT0,Morpho V1,Hyperliquid L1,$12.37m,12370000,14.17,14.17,14.17,5.57
13,MSUSD-USDC,Extra Finance Leverage Farming,Base,$1.17m,1170000,13.93,13.93,13.93,11.99
14,USDC,Purrlend,Hyperliquid L1,"$528,533",528533,13.83,4.49,9.34,11.7
15,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.12m,3120000,13.62,13.62,13.62,14.22
16,USDG,Kamino Lend,Solana,"$820,262",820262,13.34,13.34,13.34,5.15
17,AUGUSTUSDCV2,Morpho V1,Monad,$5.95m,5950000,13,9.85,3.15,7.73
18,MSUSD-USDC,Aerodrome V1,Base,$6.32m,6320000,12.91,12.91,12.91,11.39
19,USDC-USDT / CL1 - 0.0009%,Aerodrome Slipstream,Base,$1.06m,1060000,12.78,12.1,9.46,6.87
20,AAVEGHO-USDT-USDC,Aura,Arbitrum,$5.86m,5860000,12.51,6.18,6.34,7.23
21,MSUSD-USDC / Aerodrome,Beefy,Base,"$658,329",658329,12.51,10.91,,10.91
22,USDC / arbUSD,AUTOfinance,Arbitrum,$1.9m,1900000,12.29,10.4,1.88,8.56
23,USDC / vault,Avantis,Base,$53.88m,53880000,11.89,11.89,11.89,9.79
24,DJED,Liqwid,Cardano,$1.7m,1700000,11.59,11.59,11.59,11.88
25,USDC,Sprinter,Base,$2.96m,2960000,11.35,10.35,,10.35
26,AUSD,Accountable,Monad,"$525,519",525519,11.3,6.3,5,11.3
27,GTUSDCC,Morpho V1,Hyperliquid L1,$2.33m,2330000,11.24,11.24,11.24,6.09
28,SUPERUSDC / SuperVault,Superform,Base,$1.36m,1360000,10.86,4.82,6.05,6.4
29,BBQUSD1,Morpho V1,Monad,$1.64m,1640000,10.68,6.01,4.67,171
30,AUGUSTUSDC,Morpho V1,Monad,$5.96m,5960000,10.67,7.49,3.17,7.94
31,MIM-USDT0 / Mim,Beefy,Arbitrum,$1.11m,1110000,10.64,10.3,,10.3
32,USDC,Abyss,Sui,$1.92m,1920000,10.52,10.52,10.52,8.78
33,USDC,Fluid Lending,Arbitrum,$27.07m,27070000,10.33,9.13,1.2,6.73
34,GTUSDCP,Morpho V1,Op Mainnet,$8.42m,8420000,10.29,10.29,10.29,4.44
35,SUSDU,Unitas,Solana,$46.04m,46040000,10.25,10.25,10.25,11.77
36,ALUSD-USDC / Curve,Stake DAO,Arbitrum,"$696,591",696591,9.65,0.27,9.38,9.34
37,AUSD,Neverland,Monad,$7.87m,7870000,9.64,4.38,5.26,10.14
38,USDT0,Neverland,Monad,$3.01m,3010000,9.53,4.17,5.36,9.23
39,ALUSD-USDC,Curve DEX,Arbitrum,"$732,778",732778,9.38,0.19,9.19,9.75
40,DAI-USDT / 0.00%,Uniswap V4,Polygon,"$535,004",535004,9.2,9.2,9.2,12.46
41,HYPERUSDCA,Morpho V1,Monad,$17.81m,17810000,9.15,6.66,2.49,7
42,USDT,ZEROBASE CeDeFi,Arbitrum,$7.94m,7940000,9,7,2,9
43,USDC,ZEROBASE CeDeFi,Arbitrum,"$790,699",790699,9,7,2,9
44,USDC / baseUSD,AUTOfinance,Base,$5.73m,5730000,8.96,5.37,3.6,7.01
45,HYPERVBUSDCA,Morpho V1,Katana,$1.52m,1520000,8.96,8.96,8.96,3.11
46,AUSD,Yearn Finance,Katana,$2.01m,2009999.9999999998,8.89,8.89,8.89,2.86
47,USDC,Fluid Lending,Base,$9.08m,9080000,8.74,6.29,2.45,7.24
48,ZVUSDC,Zircuit Finance,Base,$1.49m,1490000,8.72,8.72,8.72,8.7
49,SUSDAI-USDC,Curve DEX,Arbitrum,$4.28m,4280000,8.45,8.45,8.45,4.35
50,USDC,Loopscale,Solana,"$919,245",919245,8.45,7.82,0.63,8.4
51,USDC,Neverland,Monad,$14.88m,14880000,8.4,3.93,4.47,8.39
52,SUSDAI / For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$6.46m,6460000,8.38,8.38,8.38,7.24
53,BBQUSDC,Morpho V1,Base,$3.19m,3190000,8.34,8.34,8.34,5.19
54,WABASGHO-WABASUSDC / Aura,Beefy,Base,$1.61m,1610000,8.33,5.63,,5.63
55,SUSDAI / For LP | Maturity 18JUN2026,Pendle,Arbitrum,$6.46m,6460000,8.27,7.58,0.69,6.93
56,USDC,MortgageFi,Base,"$732,284",732284,8.13,9.17,,9.17
57,GTUSDCC,Morpho V1,Unichain,$1.17m,1170000,7.95,7.95,7.95,6.34
58,SUSDAI / For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$11.99m,11990000,7.85,7.85,7.85,7.72
59,WAARBUSDCN-WAARBUSDT-WAARBGHO / Aura,Beefy,Arbitrum,$3.65m,3650000,7.84,6.83,,6.83
60,SUSDAI / For LP | Maturity 15OCT2026,Pendle,Arbitrum,$11.99m,11990000,7.72,6.82,0.91,7.42
61,SYRUPUSDC-USDC / 0.08%,Uniswap V4,Arbitrum,"$980,272",980272,7.72,7.72,7.72,0.7
62,GHO,Fluid Lending,Arbitrum,$3.01m,3010000,7.69,4.23,3.46,6.42
63,USDC-USDT / 0.01%,Uniswap V3,Arbitrum,$2.51m,2510000,7.66,7.66,4.67,3.41
64,EDGEUSDC,Morpho V1,Base,"$840,782",840782,7.64,5.02,2.61,5.15
65,SYZUSD,Yuzu Money,Monad,$23.06m,23060000,7.57,7.57,7.57,7.27
66,BBQUSDT0,Morpho V1,Monad,$4.05m,4050000,7.54,2.01,5.53,6.22
67,MIM-USDC / Mim,Beefy,Arbitrum,$2.43m,2430000,7.5,7.18,,7.18
68,APXUSD / For LP | Maturity 18JUN2026,Pendle,Base,$3.12m,3120000,7.46,5.7,1.76,8.92
69,USDT,Symbiosis,Tron,$1.5m,1500000,7.43,7.43,7.43,6.94
70,USDSUI,NAVI Lending,Sui,$1.56m,1560000,7.42,0.07,7.35,8.8
71,USDAI / For buying PT-USDai-15OCT2026,Pendle,Arbitrum,"$767,444",767444,7.36,7.36,7.36,6.18
72,GTUSDCF,Morpho V1,Base,$1.28m,1280000,7.18,7.18,7.18,5.02
73,USDC / Morpho,Beefy,Base,"$952,935",952935,7.16,4.62,,4.62
74,SUSDAI / 30d unlock,USD AI,Arbitrum,$259.23m,259230000.00000003,7.15,7.15,7.15,6.33
75,USDC-SUSD / stable - 0.05%,Velodrome V2,Op Mainnet,$1.02m,1020000,7.06,7.06,7.06,6.42
76,USDC / MainMarket,Current,Sui,$2.14m,2140000,6.97,1.14,5.84,6.22
77,USDC / 40 Acres,Harvest Finance,Base,$2.02m,2020000,6.93,6.93,6.93,6.31
78,USDC / Autopilot,Harvest Finance,Base,"$718,551",718551,6.88,6.88,6.88,5.2
79,USDC,Liqwid,Cardano,"$517,749",517749,6.71,6.71,6.71,4.15
80,AUSD / earnAUSD/AUSD,Curvance,Monad,$2.03m,2029999.9999999998,6.69,6.69,6.69,6.93
81,USDC / Morpho - Gauntlet Frontier V2,Harvest Finance,Base,"$574,855",574855,6.67,6.67,6.67,5.16
