rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
1,ALPHAUSDTPRIME,Morpho Blue,Hyperliquid L1,$2.96m,2960000,19.19,12,7.19,20.73,,7.19,,20.73,,,,,
2,MIM-USDC / Mim,Beefy,Arbitrum,$1.23m,1230000,16.24,13.67,,,,,,13.67,,,,,
3,AUSD-USDC-USDT0,Curve DEX,Monad,$3.45m,3450000,16.04,0,16.04,8.11,,16.04,,8.11,,,,,
4,USDCAD-USDC,GMTrade,Solana,$1.33m,1330000,15.77,15.77,15.77,,,15.77,,15.77,,,,,
5,APXUSD / For buying PT-apxUSD-18JUN2026,Pendle,Base,$3.61m,3610000,15.6,15.6,14.24,,,15.6,,14.24,,,,,
6,USDC-USDM,Mento V3,Monad,"$534,476",534476,14.98,0.78,14.19,14.87,,14.19,,14.87,,,,,
7,USDC-USDT / CL1 - 0.0009%,Aerodrome Slipstream,Base,"$970,178",970178,14.74,12.23,2.51,13.92,12.11,13.92,,12.11,,,,,
8,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,Monad,$3.59m,3590000,14.47,13.78,,,,,,13.78,,,,,
9,USDC-MSUSD / stable - 0.05%,Velodrome V2,Op Mainnet,"$944,661",944661,14.22,14.22,14.33,,,14.22,,14.33,,,,,
10,AUSD,Metrom,Katana,$1.68m,1680000,13.78,9.33,4.45,13.69,,4.45,,13.69,,,,,
11,SUSDU,Unitas,Solana,$32.62m,32619999.999999996,13.58,13.58,10.59,,,13.58,,10.59,,,,,
12,MSUSD-FRXUSD,Aerodrome V1,Base,$1.07m,1070000,12.92,12.92,16.22,,,12.92,,16.22,,,,,
13,WYLDS-USDC,Kamino Liquidity,Solana,$3.67m,3670000,12.89,12.89,1.81,0.28,,1.81,,0.28,,,,,
14,USDC,Metrom,Katana,$14.78m,14780000,12.21,2.36,9.84,12,,9.84,,12,,,,,
15,AAVEUSDC-AAVEGHO,Aura,Base,$1.02m,1020000,11.65,11.64,0,7.2,,0,,7.2,,,,,
16,WABASGHO-WABASUSDC / Aura,Beefy,Base,"$973,237",973237,11.65,6.59,,,,,,6.59,,,,,
17,USDC / yoUSD,YO Protocol,Base,$16.6m,16600000.000000002,11.59,3.79,7.8,15.01,,7.8,,15.01,,,,,
18,USDC / yoUSD,YO Protocol,Arbitrum,"$610,641",610641,11.59,3.79,7.8,15,,7.8,,15,,,,,
19,BBQUSD1,Morpho Blue,Monad,"$923,705",923705,11.45,5.64,5.81,115,,5.81,,115,689.0930348634854,,49957820.92,0,"{""wsrUSD"":100}"
20,MIM-USDT0 / Mim,Beefy,Arbitrum,$1.09m,1090000,11.42,10.7,,,,,,10.7,,,,,
21,USDC,Sprinter,Base,$2.96m,2960000,11.35,11.35,,,,,,11.35,,,,,
22,AUGUSTUSDC,Morpho Blue,Monad,$2.83m,2830000,11.29,7.78,3.5,8.65,,3.5,,8.65,0.000001999599665902946,,164467072.52,0,"{""earnAUSD"":100}"
23,USDC,Accountable,Monad,"$618,713",618713,11,8,3,11.7,,3,,11.7,,,,,
24,USDC / 40 Acres,Harvest Finance,Base,$1.97m,1970000,10.79,10.79,6.66,,,10.79,,6.66,,,,,
25,ALUSD-USDC / Curve,Stake DAO,Arbitrum,"$728,958",728958,10.61,0.49,10.12,9.46,,10.12,,9.46,,,,,
26,SUPERUSDC / SuperVault,Superform,Base,$2.21m,2210000,10.49,4.33,6.16,11.91,,6.16,,11.91,,,,,
27,ALUSD-USDC,Curve DEX,Arbitrum,"$743,060",743060,10.22,0.19,10.03,9.57,,10.03,,9.57,,,,,
28,USDT,Metrom,Katana,$4.65m,4650000,10.2,2.69,7.51,10.24,,7.51,,10.24,,,,,
29,AUGUSTUSDCV2,Morpho Blue,Monad,$8.09m,8090000,10.04,6.82,3.22,8.61,,3.22,,8.61,,,,,
30,APXUSD / For LP | Maturity 18JUN2026,Pendle,Base,$3.61m,3610000,9.69,8.85,0.84,8.66,,0.84,,8.66,,,,,
31,USDC / vault,Avantis,Base,$47.25m,47250000,9.61,9.61,10.14,,,9.61,,10.14,,,,,
32,GHO,Fluid Lending,Base,"$848,506",848506,9.54,9.54,4.04,,,9.54,,4.04,,,,,
33,AUSD,Yearn Finance,Katana,$1.62m,1620000,9.33,9.33,0.0001,7.02,,0.0001,,7.02,,,,,
34,SUSDAI / For buying PT-sUSDai-15OCT2026,Pendle,Arbitrum,$11.66m,11660000,9.21,9.21,8.6,,,9.21,,8.6,,,,,
35,SUSDAI / For buying PT-sUSDai-18JUN2026,Pendle,Arbitrum,$6.37m,6370000,9.2,9.2,8.41,,,9.2,,8.41,,,,,
36,MSUSD-USDC,Extra Finance Leverage Farming,Base,$1.12m,1120000,9.11,9.11,11.2,,,9.11,,11.2,,,,,
37,USDT,ZEROBASE CeDeFi,Arbitrum,$7.93m,7930000,9,7,2,9,,2,,9,,,,,
38,USDC,ZEROBASE CeDeFi,Arbitrum,"$783,628",783628,9,7,2,9,,2,,9,,,,,
39,MSUSD-USDC,Aerodrome V1,Base,$7.67m,7670000,8.98,8.98,10.55,,,8.98,,10.55,,,,,
40,USDC,Neverland,Monad,$14.7m,14700000,8.93,3.77,5.16,8.25,,5.16,,8.25,59530000,44740000,14790000,,
41,AUSD / earnAUSD/AUSD,Curvance,Monad,$1.82m,1820000,8.9,6.4,2.5,8.14,,2.5,,8.14,11280000,9790000,1480000,,
42,USDC,YieldSeeker,Base,$1.24m,1240000,8.85,8.85,9.17,,,8.85,,9.17,,,,,
43,SUSDAI / For LP | Maturity 18JUN2026,Pendle,Arbitrum,$6.37m,6370000,8.72,7.9,0.82,7.78,,0.82,,7.78,,,,,
44,USDC / baseUSD,AUTOfinance,Base,$6.24m,6240000,8.71,5.15,3.57,8.46,,3.57,,8.46,,,,,
45,AUSD,Neverland,Monad,$10.54m,10540000,8.7,3.99,4.71,9.57,,4.71,,9.57,48940000,38340000,10600000,,
46,SUSDAI / For LP | Maturity 15OCT2026,Pendle,Arbitrum,$11.66m,11660000,8.54,7.85,0.69,7.82,,0.69,,7.82,,,,,
47,AUSD / vUSD/AUSD,Curvance,Monad,"$606,719",606719,8.47,6.11,2.36,6.47,,2.36,,6.47,6240000,5640000,596712,,
48,USDC,Loopscale,Solana,"$881,109",881109,8.4,7.33,1.07,8.38,,1.07,,8.38,,,,,
49,MSUSD-USDC / Aerodrome,Beefy,Base,"$691,403",691403,8.24,10.04,,,,,,10.04,,,,,
50,ZVUSDC,Zircuit Finance,Base,$1.5m,1500000,8.14,8.14,8.58,,,8.14,,8.58,,,,,
51,GTUSDCP,Morpho Blue,Op Mainnet,$6.42m,6420000,7.91,6.25,1.66,4.79,,1.66,,4.79,2047419.7208588137,,62943202.35,0,"{""sUSDS"":0.22,""WBTC"":94.18,""WETH"":3.91,""wstETH"":1.68}"
52,AAVEGHO-USDT-USDC,Aura,Arbitrum,$1.71m,1710000,7.84,7.65,0.18,7.4,,0.18,,7.4,,,,,
53,USDC,DeltaPrime,Arbitrum,"$664,917",664917,7.82,7.82,6.47,,,7.82,,6.47,,,,,
54,WAARBUSDCN-WAARBUSDT-WAARBGHO / Aura,Beefy,Arbitrum,$1.5m,1500000,7.82,5.15,,,,,,5.15,,,,,
55,USDT0,Neverland,Monad,$4.63m,4630000,7.73,3.87,3.86,9.11,,3.86,,9.11,19780000,15250000,4530000,,
56,EARNAUSD,Upshift,Monad,$35.92m,35920000,7.6,6.05,1.55,7.69,,1.55,,7.69,,,,,
57,SUSDAI / 30d unlock,USD AI,Arbitrum,$258.8m,258800000,7.49,7.49,7.15,,,7.49,,7.15,,,,,
58,USDC,Fluid Lending,Arbitrum,$41.77m,41770000,7.43,6.63,0.8,6.22,,0.8,,6.22,,,,,
59,USDC / arbUSD,AUTOfinance,Arbitrum,$3.35m,3350000,7.28,5.84,1.44,11.35,,1.44,,11.35,,,,,
60,SYZUSD,Yuzu Money,Monad,$12.93m,12930000,7.12,7.12,7.54,,,7.12,,7.54,,,,,
61,USDC / monUSD,AUTOfinance,Monad,"$542,890",542890,7.09,2.6,4.49,14.13,,4.49,,14.13,,,,,
62,HYPERUSDCA,Morpho Blue,Monad,$17.33m,17330000,7.05,3.83,3.22,7.06,,3.22,,7.06,866227.0337526001,,199104917.8,0,"{""WETH"":1.04,""sUSDS"":0.69,""thBILL"":5.99,""WBTC"":45.02,""sUSDai"":0.69,""PT-thBILL-18JUN2026"":10.66,""PT-USDai-18JUN2026"":18.35,""PT-sUSDai-18JUN2026"":10.63,""weETH"":6.93}"
63,AUSD / syzUSD/AUSD,Curvance,Monad,"$865,085",865085,6.97,4.47,2.5,6.93,,2.5,,6.93,3790000,2920000,865072,,
